1	6119	4629	65	122	76	1
2	6268	4733	68	149	104	3
3	6449	4870	71	181	137	3
4	6609	4975	73	160	105	2
5	6690	5097	74	81	122	1
6	6783	5181	75	93	84	1
7	6838	5237	78	55	56	3
8	7063	5329	86	225	92	8
9	7360	5431	88	297	102	2
10	7598	5535	94	238	104	6
11	7873	5678	96	275	143	2
12	8071	5806	96	198	128	0
13	8234	5921	98	163	115	2
14	8316	5994	100	82	73	2
15	8638	6093	102	322	99	2
16	8954	6254	109	316	161	7
17	9229	6393	111	275	139	2
18	9477	6538	114	248	145	3
19	9668	6679	117	191	141	3
20	9802	6794	119	134	115	2
21	9907	6897	121	105	103	2
22	10214	7092	127	307	195	6
23	10534	7393	134	320	301	7
24	10685	7612	134	151	219	0
25	10846	7828	139	161	216	5
26	10946	8059	142	100	231	3
27	11062	8289	143	116	230	1
28	11175	8410	152	113	121	9
29	11634	8664	161	459	254	9
30	12013	8899	171	379	235	10
31	12171	9130	172	158	231	1
